Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:56:25,Data retrieved on 2026-01-06 02:56:25.
Performance,GAA,2.6,Spencer Knight maintains a Goals Against Average of 2.6 over 29 games.
Performance,Save Percentage,0.91018,Overall save percentage is currently recorded at 0.91018.
Performance,Season Wins,12,Has secured 12 victories for CHI this season.
