Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:29:39,Data retrieved on 2026-01-06 02:29:39.
Production,Season Points,29,Will Smith has accumulated 29 points in 33 games.
Production,Points Per Game,0.88,Currently performing at a pace of 0.88 points per game.
Skating,Top Skating Speed,22.1002 mph,Maximum speed recorded at 22.1002 mph (Ranked in the 49.9th percentile).
Skating,Speed Bursts (>20 mph),56,The player has recorded 56 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,92.8239 mi,The cumulative distance skated throughout the season is 92.8239 miles.
Shooting,Hardest Shot,90.26 mph,The highest recorded shot velocity reached 90.26 mph.
Shooting,High Danger Goals,4,Scored 4 goals from high-danger areas (crease and low slot) out of 26 attempts.
Possession,Offensive Zone Time,43.6%,The team maintains puck possession in the offensive zone during 43.6% of the player's ice time.
