Category,Statistic,Value,Description
System,Fetch Date,2026-01-24 22:05:46,Data retrieved on 2026-01-24 22:05:46.
Production,Season Points,85,Connor McDavid has accumulated 85 points in 52 games.
Production,Points Per Game,1.63,Currently performing at a pace of 1.63 points per game.
Skating,Top Skating Speed,24.6119 mph,Maximum speed recorded at 24.6119 mph (100.0th percentile).
Skating,Speed Bursts (>20 mph),436,Recorded 436 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,208.6857 mi,Total distance covered throughout the season: 208.6857 miles.
