Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:27:08,Data retrieved on 2026-01-06 02:27:08.
Production,Season Points,47,Cale Makar has accumulated 47 points in 41 games.
Production,Points Per Game,1.15,Currently performing at a pace of 1.15 points per game.
Skating,Top Skating Speed,23.6795 mph,Maximum speed recorded at 23.6795 mph (Ranked in the 99.7th percentile).
Skating,Speed Bursts (>20 mph),111,The player has recorded 111 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,148.0569 mi,The cumulative distance skated throughout the season is 148.0569 miles.
Shooting,Hardest Shot,93.9 mph,The highest recorded shot velocity reached 93.9 mph.
Shooting,High Danger Goals,2,Scored 2 goals from high-danger areas (crease and low slot) out of 11 attempts.
Possession,Offensive Zone Time,44.5%,The team maintains puck possession in the offensive zone during 44.5% of the player's ice time.
