Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:29:21,Data retrieved on 2026-01-06 02:29:21.
Production,Season Points,63,Macklin Celebrini has accumulated 63 points in 41 games.
Production,Points Per Game,1.54,Currently performing at a pace of 1.54 points per game.
Skating,Top Skating Speed,22.1391 mph,Maximum speed recorded at 22.1391 mph (Ranked in the 52.1th percentile).
Skating,Speed Bursts (>20 mph),107,The player has recorded 107 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,142.7796 mi,The cumulative distance skated throughout the season is 142.7796 miles.
Shooting,Hardest Shot,93.57 mph,The highest recorded shot velocity reached 93.57 mph.
Shooting,High Danger Goals,8,Scored 8 goals from high-danger areas (crease and low slot) out of 30 attempts.
Possession,Offensive Zone Time,43.7%,The team maintains puck possession in the offensive zone during 43.7% of the player's ice time.
