Category,Statistic,Value,Description
System,Fetch Date,2026-01-29 15:58:16,Data retrieved on 2026-01-29 15:58:16.
Production,Season Points,49,Connor Bedard has accumulated 49 points in 40 games.
Production,Points Per Game,1.23,Currently performing at a pace of 1.23 points per game.
Skating,Top Skating Speed,22.3625 mph,Maximum speed recorded at 22.3625 mph (60.4th percentile).
Skating,Speed Bursts (>20 mph),118,Recorded 118 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,137.499 mi,Total distance covered throughout the season: 137.499 miles.
