Category,Statistic,Value,Description
System,Fetch Date,2026-01-11 19:09:15,Data retrieved on 2026-01-11 19:09:15.
Production,Season Points,49,Sidney Crosby has accumulated 49 points in 43 games.
Production,Points Per Game,1.14,Currently performing at a pace of 1.14 points per game.
Skating,Top Skating Speed,22.8595 mph,Maximum speed recorded at 22.8595 mph (85.5th percentile).
Skating,Speed Bursts (>20 mph),89,Recorded 89 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,133.4472 mi,Total distance covered throughout the season: 133.4472 miles.
