Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:32:32,Data retrieved on 2026-01-06 02:32:32.
Production,Season Points,40,Mitch Marner has accumulated 40 points in 40 games.
Production,Points Per Game,1.0,Currently performing at a pace of 1.0 points per game.
Skating,Top Skating Speed,22.0052 mph,Maximum speed recorded at 22.0052 mph (Ranked in the 45.0th percentile).
Skating,Speed Bursts (>20 mph),23,The player has recorded 23 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,125.3849 mi,The cumulative distance skated throughout the season is 125.3849 miles.
Shooting,Hardest Shot,86.31 mph,The highest recorded shot velocity reached 86.31 mph.
Shooting,High Danger Goals,6,Scored 6 goals from high-danger areas (crease and low slot) out of 23 attempts.
Possession,Offensive Zone Time,45.3%,The team maintains puck possession in the offensive zone during 45.3% of the player's ice time.
