Category,Statistic,Value,Description
System,Fetch Date,2026-01-29 15:58:14,Data retrieved on 2026-01-29 15:58:14.
Production,Season Points,92,Connor McDavid has accumulated 92 points in 54 games.
Production,Points Per Game,1.7,Currently performing at a pace of 1.7 points per game.
Skating,Top Skating Speed,24.6119 mph,Maximum speed recorded at 24.6119 mph (100.0th percentile).
Skating,Speed Bursts (>20 mph),455,Recorded 455 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,217.7837 mi,Total distance covered throughout the season: 217.7837 miles.
