Category,Statistic,Value,Description
System,Fetch Date,2026-01-14 09:41:56,Data retrieved on 2026-01-14 09:41:56.
Production,Season Points,30,Brayden Point has accumulated 30 points in 37 games.
Production,Points Per Game,0.81,Currently performing at a pace of 0.81 points per game.
Skating,Top Skating Speed,23.4631 mph,Maximum speed recorded at 23.4631 mph (97.3th percentile).
Skating,Speed Bursts (>20 mph),199,Recorded 199 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,110.5987 mi,Total distance covered throughout the season: 110.5987 miles.
