Category,Statistic,Value,Description
System,Fetch Date,2026-01-07 17:31:43,Data retrieved on 2026-01-07 17:31:43.
Production,Season Points,29,Matthew Schaefer has accumulated 29 points in 43 games.
Production,Points Per Game,0.67,Currently performing at a pace of 0.67 points per game.
Skating,Top Skating Speed,22.9272 mph,Maximum speed recorded at 22.9272 mph (94.3th percentile).
Skating,Speed Bursts (>20 mph),156,Recorded 156 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,150.8276 mi,Total distance covered throughout the season: 150.8276 miles.
